Artikelnummer;URL;Bezeichnung;Model;Size;Bez1
170091B07000;https://www.miraphone.de/bbb-tuba-91-compact-style-5-4-size-bell-47-cm-5-valves-1-6.html;B-Tuba;Modell 91;5/4 kompakt;Modell 915/4 kompakt
170091B07000500;https://www.miraphone.de/bbb-tuba-91-compact-style-5-4-size-bell-47-cm-5-valves-1-5.html;B-Tuba;Modell 91;5/4 kompakt;Modell 915/4 kompakt
170091B07000700;https://www.miraphone.de/bbb-tuba-14.html;B-Tuba;Modell 91;5/4 kompakt;Modell 915/4 kompakt
170091B07020;https://www.miraphone.de/bbb-tuba-91-compact-style-5-4-size-bell-47-cm-5-valves-1-4.html;B-Tuba;Modell 91;5/4 kompakt;Modell 915/4 kompakt
170091B07020500;https://www.miraphone.de/bbb-tuba-91-compact-style-5-4-size-bell-47-cm-5-valves-1-3.html;B-Tuba;Modell 91;5/4 kompakt;Modell 915/4 kompakt
170091B11000;https://www.miraphone.de/bbb-tuba-91-compact-style-5-4-size-bell-47-cm-5-valves-1-2.html;B-Tuba;Modell 91;5/4 kompakt;Modell 915/4 kompakt
170091B11000500;https://www.miraphone.de/bbb-tuba-91-compact-style-5-4-size-bell-47-cm-5-valves-1.html;B-Tuba;Modell 91;5/4 kompakt;Modell 915/4 kompakt
170091B11000700;https://www.miraphone.de/bbb-tuba-13.html;B-Tuba;Modell 91;5/4 kompakt;Modell 915/4 kompakt
170098B07000;https://www.miraphone.de/bbb-tuba-98-siegfried-6-4-size-bell-50-cm-5-valves-1.html;B-Tuba;Modell 98 Siegfried;6/4;Modell 98 Siegfried6/4
170098B07020;https://www.miraphone.de/bbb-tuba-54.html;B-Tuba;Modell 98 Siegfried;6/4;Modell 98 Siegfried6/4
170282A07000;https://www.miraphone.de/bbb-tuba-282-3-4-size-bell-42-cm-4-valves-1-3.html;B-Tuba;Modell 282;3/4;Modell 2823/4
170282A07000500;https://www.miraphone.de/bbb-tuba-52.html;B-Tuba;Modell 282;3/4;Modell 2823/4
170282A07020;https://www.miraphone.de/bbb-tuba-282-3-4-size-bell-42-cm-4-valves-1-2.html;B-Tuba;Modell 282;3/4;Modell 2823/4
170282A11000;https://www.miraphone.de/bbb-tuba-282-3-4-size-bell-42-cm-4-valves-1.html;B-Tuba;Modell 282;3/4;Modell 2823/4
170282A11000500;https://www.miraphone.de/bbb-tuba-91.html;B-Tuba;Modell 282;3/4;Modell 2823/4
170282B07000;https://www.miraphone.de/bbb-tuba-49.html;B-Tuba;Modell 282;3/4;Modell 2823/4
170289A07000;https://www.miraphone.de/bbb-tuba-289-5-4-size-bell-47-cm-4-valves-1-7.html;B-Tuba;Modell 289;5/4;Modell 2895/4
170289A07000500;https://www.miraphone.de/bbb-tuba-289-5-4-size-bell-47-cm-4-valves-1-6.html;B-Tuba;Modell 289;5/4;Modell 2895/4
170289A07000700;https://www.miraphone.de/bbb-tuba-12.html;B-Tuba;Modell 289;5/4;Modell 2895/4
170289A07000720;https://www.miraphone.de/bbb-tuba-4.html;B-Tuba;Modell 289;5/4;Modell 2895/4
170289A07020;https://www.miraphone.de/bbb-tuba-289-5-4-size-bell-47-cm-4-valves-1-5.html;B-Tuba;Modell 289;5/4;Modell 2895/4
170289A11000;https://www.miraphone.de/bbb-tuba-289-5-4-size-bell-47-cm-4-valves-1-4.html;B-Tuba;Modell 289;5/4;Modell 2895/4
170289A11000500;https://www.miraphone.de/bbb-tuba-289-5-4-size-bell-47-cm-4-valves-1-3.html;B-Tuba;Modell 289;5/4;Modell 2895/4
170289A11020;https://www.miraphone.de/bbb-tuba-289-5-4-size-bell-47-cm-4-valves-1-2.html;B-Tuba;Modell 289;5/4;Modell 2895/4
